Bulan,Pemakaian (Kwh)
2009-01,7123923
2009-02,7239847
2009-03,6917371
2009-04,6975923
2009-05,7220368
2009-06,7368859
2009-07,7292566
2009-08,7254750
2009-09,7380481
2009-10,7626372
2009-11,7307530
2009-12,7507560
2010-01,7581766
2010-02,5644744
2010-03,7489873
2010-04,7119893
2010-05,7895747
2010-06,7528884
2010-07,8146120
2010-08,7711480
2010-09,8115305
2010-10,8157431
2010-11,7898412
2010-12,8149127
2011-01,8265077
2011-02,7621004
2011-03,8288817
2011-04,7605036
2011-05,8206351
2011-06,8132432
2011-07,8334264
2011-08,8377354
2011-09,8045557
2011-10,9106716
2011-11,8442112
2011-12,8680138
2012-01,8967836
2012-02,9219739
2012-03,8890010
2012-04,8715433
2012-05,9074913
2012-06,9165424
2012-07,9526786
2012-08,9344918
2012-09,9653990
2012-10,9449419
2012-11,9509592
2012-12,9816382
2013-01,9310738
2013-02,9508106
2013-03,9450065
2013-04,10061015
2013-05,9920624
2013-06,10294459
2013-07,10134139
2013-08,10283808
2013-09,10173120
2013-10,10156018
2013-11,10407360
2013-12,10580503
2014-01,10693462
2014-02,10315058
2014-03,9824842
2014-04,10252464
2014-05,10947807
2014-06,10728112
2014-07,11043155
2014-08,10881982
2014-09,10487092
2014-10,10936474
2014-11,10779885
2014-12,11354117
2015-01,11170960
2015-02,10223412
2015-03,11187842
2015-04,10975486
2015-05,11289595
2015-06,11990559
2015-07,11475777
2015-08,11342962
2015-09,11035802
2015-10,11702312
2015-11,11340684
2015-12,12119029
2016-01,11626100
2016-02,11080386
2016-03,11930768
2016-04,11750317
2016-05,12234679
2016-06,11934707
2016-07,12365373
2016-08,11991393
2016-09,11987388
2016-10,12244897
2016-11,12096001
2016-12,12824675
2017-01,12456817
2017-02,11184516
2017-03,12293063
2017-04,12187132
2017-05,12503483
2017-06,12089111
2017-07,12457353
2017-08,12752397
2017-09,12489649
2017-10,12313348
2017-11,12354645
2017-12,13293457
2018-01,13494396
2018-02,12264378
2018-03,14038833
2018-04,13651819
2018-05,14003933
2018-06,13650281
2018-07,13991705
2018-08,13736812
2018-09,13415507
2018-10,14166336
2018-11,14009119
2018-12,14971775
2019-01,13825403
2019-02,12572803
2019-03,13884642
2019-04,13661951
2019-05,13958117
2019-06,13847724
2019-07,13890229
2019-08,13983818
2019-09,13541107
2019-10,14141246
2019-11,14082952
2019-12,15175788
2020-01,14803895
2020-02,13678175
2020-03,13780211
2020-04,12478471
2020-05,12829751
2020-06,12669170
2020-07,13358614
2020-08,13990100
2020-09,13682135
2020-10,14435737
2020-11,14301507
2020-12,14632718
2021-01,14730582
2021-02,13260691
2021-03,15028626
2021-04,14770686
2021-05,15314702
2021-06,15224147
2021-07,13709573
2021-08,16215217
2021-09,16786527
2021-10,17998857
2021-11,17643104
2021-12,18467253
